Symbol
AAPL
TSLA
AMC
F
BAC
NVDA
MSFT
AMD
BABA
BA
LCID
FB
PLTR
DKNG
PFE
DIS
AMZN
NIO
UBER
INTC
AAL
BBIG
ESSC
WMT
ZIM
AFRM
CORT
KO
DOCU
T
TLRY
COST
BKKT
PYPL
ADBE
C
DIDI
FCX
GME
HOOD
COIN
PTON
SQ
TEVA
CVS
BB
ORCL
MARA
CSCO
RUN
V
XOM
SOFI
GM
AIG
KHC
CVNA
CPNG
DWAC
WFC
JPM
SNAP
CRM
VIAC
NFLX
RIOT
EBAY
GRTX
MRK
BHC
QCOM
PCG
PLUG
MRNA
KGC
RBLX
CLF
CCL
MU
ABBV
JNJ
X
TWTR
LYFT
GOLD
ROKU
ABNB
DNA
FUBO
UAL
BITF
SEAC
AA
BYND
BEKE
ATVI
CRWD
BBBY
RIVN
GOOGL
DNN
PRPL
MRVL
UPST
GILD
HTZ
BRK.B
ENPH
CVX
TSM
EPD
GS
GOOG
IGT
NKE
SNDL
BBY
LOW
DAL
COTY
DVN
NOVA
KSS
BILI
FCEL
OCGN
NET
M
LUV
PROG
CLOV
ENDP
CHWY
KR
VZ
BIDU
SE
MQ
MS
CHPT
WISH
TIGR
DKS
JD
SEAH
ET
CGC
HD
ASO
FOUR
LAZR
ARNA
FUTU
PINS
LVS
BMY
DDOG
FDX
IPOF
VALE
NCLH
CAR
AVGO
TGT
HEAR
HUT
ALZN
ABT
SHOP
BX
ATUS
MGM
MT
ZS
GE
PG
SNOW
SPCE
HTA
RCL
OPEN
DOW
AMAT
AUPH
NOK
DOCN
ALDX
FSR
ABUS
OXY
PLBY
MTTR
PBR
TDOC
COP
SBUX
SDC
CCJ
BLU
ZM
