Symbol
TSLA
SPY
AMZN
QQQ
AAPL
NVDA
FB
MSFT
IWM
GOOGL
AMD
GOOG
BABA
MRNA
SHOP
NFLX
LCID
PYPL
BA
BKKT
SQ
GS
ROKU
TQQQ
AMC
COIN
RIVN
UPST
AFRM
F
QCOM
JPM
DIS
XOM
ZM
ARKK
RBLX
SNAP
AVGO
BAC
WFC
MELI
PFE
GME
C
NVAX
NIO
VXX
MU
HD
MARA
XLE
PLTR
ADBE
SE
CVS
DWAC
LRCX
CRM
PTON
UBER
ABNB
ABBV
CSCO
TSM
BX
V
BKNG
DOCU
MSTR
DKNG
BNTX
GM
HOOD
COST
CRWD
MS
INTC
MA
SNOW
RIOT
EEM
UVXY
SOFI
DIA
IRNT
TLT
DVN
EWZ
NET
BYND
CAT
CVX
HYG
TWLO
T
FCX
TGT
FDX
XLF
BRK.B
BIDU
GLD
TDOC
TWTR
CMG
PLUG
LOW
SMH
ASML
SPG
TTD
COP
WMT
NKE
CCL
VIAC
ZS
PINS
AMAT
PG
JD
CAR
XOP
SAVA
U
MRK
UAL
UNH
ORCL
SLV
CLF
ETSY
Z
ENPH
FUTU
XBI
AAL
ATVI
QS
TNA
SOXL
ACN
BITO
NUE
UPS
EFA
DASH
KWEB
XLNX
PANW
CHWY
INTU
AXP
SBUX
DDOG
LLY
TEAM
X
WYNN
JNJ
BBIG
GDX
XPEV
EXPE
MRVL
FANG
LULU
NOW
PDD
CVNA
AAP
IBM
TLRY
MDB
MCD
DAL
ARKG
FXI
DE
SPCE
PBR
EOG
OXY
BP
XLK
AA
PENN
MPC
GILD
LVS
USO
MO
GE
ISRG
W
BLK
ASAN
NCLH
BILL
ZIM
BMY
RCL
FUBO
CCJ
KRE
RH
VZ
UNP
M
OIH
OKTA
FAS
SPOT
LYV
ABT
HUT
SI
BTBT
APPS
SQQQ
WBA
MMM
OCGN
VALE
LMND
BBBY
PNC
LMT
BBY
PAYC
VLO
OPEN
DIDI
BIIB
MTTR
LABU
BLNK
CZR
CHPT
SPXL
LYFT
AMT
GNRC
MTCH
AUPH
TMO
CHTR
CRSP
ET
FCEL
LUV
BILI
ULTA
SKLZ
XLY
CMCSA
COF
HLT
CRTX
PROG
JCI
STX
WISH
IGV
UNG
TXN
APO
XRT
ALGN
HTZ
KO
PEP
PXD
DOCN
HUBS
FSR
INMD
GGPI
DKS
ADSK
RUN
MGM
FVRR
XLV
SPLK
FSLR
CME
NKLA
CROX
KSS
SWKS
WDAY
REGN
BB
ADI
SLB
EBAY
TTWO
DLTR
COUP
SEDG
FSLY
ARQQ
NEM
RDS.A
GOLD
SDC
UPRO
IYR
CCXI
DISCA
DPZ
AI
SAM
BHC
AMGN
TMUS
ALB
DT
TECL
RTX
PAGS
DHR
LC
NEE
MAR
AMBA
FTNT
RKLB
DG
DRI
WDC
DXCM
LQD
BGFV
CI
ANTM
EA
AZO
HON
IONQ
HCA
FIVN
XLI
LAC
SCHW
ATER
CGC
NXPI
OSTK
MQ
MRO
CLOV
LI
ILMN
APA
DNA
VMW
ON
GWH
HUM
KLAC
RNG
BBWI
MSOS
ZEN
PATH
VOO
JMIA
PM
CORT
CPNG
URA
CBOE
HPQ
ANY
GUSH
IGT
SU
BOIL
KHC
BITF
MOS
CMPS
RETA
MDT
ADP
URI
EPD
PLBY
BSIG
TAN
OKE
RDS.B
ANET
GDXJ
EVGO
XLU
EMB
JETS
KR
TJX
MT
BROS
GRAB
TD
CF
LAZR
NTR
JWN
TEVA
AR
SFIX
ASO
DOW
EL
S
CHGG
FTCH
PRU
BEKE
IIPR
WKHS
MP
SPIR
DELL
VRTX
GPS
USB
HAL
IAA
LNG
CNQ
ZNGA
GPN
STNE
EFX
PSX
MNDY
ESTC
FIVE
EXC
TZA
PLD
DHI
GREE
DOCS
AIG
TSN
DISCK
LEN
FISV
VEEV
SVXY
CLX
WM
FFIE
CPE
TECK
LIN
CCI
LSPD
LUMN
SPXU
CRSR
SPGI
WOLF
NOC
DDS
GES
RKT
SOXX
RY
XLP
CELH
TBT
RIO
KMI
WSM
BG
SPWR
IBB
TTCF
BTU
SRPT
AEHR
FOUR
MET
AXSM
NSC
TIGR
ZTS
CWH
FIS
NOK
WHR
COTY
YETI
NUGT
